train_size_category,test_roc_auc,test_balanced_accuracy,fold-site,classifier,feature_type,atlas,dataset
700,0.6763285024154588,0.538647342995169,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
700,0.6928571428571428,0.64,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.554945054945055,0.5755494505494505,Baltimore,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6774691358024691,0.6273148148148149,Boston,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6159420289855073,0.6609730848861284,Dallas,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.9682539682539683,0.7380952380952381,Detroit,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.5729166666666666,0.6081730769230769,Hartford,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.5197368421052632,0.5072368421052631,mannheim,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.4914860681114551,0.48684210526315785,creteil,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.7037037037037037,0.5972222222222222,udine,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.7647058823529411,0.8529411764705883,galway,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6641604010025063,0.6109022556390977,pittsburgh,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6666666666666667,0.6473429951690821,grenoble,svm,zscores_VBM_ROI,Neuromorphometrics,N763
75,0.6385714285714286,0.5,geneve,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6119505494505495,0.6043956043956044,Baltimore,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6651234567901234,0.6435185185185186,Boston,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6314699792960663,0.6273291925465838,Dallas,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.8412698412698413,0.7142857142857143,Detroit,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.5777243589743589,0.5064102564102564,Hartford,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.5868421052631578,0.5335526315789474,mannheim,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.5069659442724458,0.5116099071207431,creteil,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.7524691358024691,0.7444444444444445,udine,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.7254901960784315,0.6274509803921569,galway,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6992481203007519,0.637218045112782,pittsburgh,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6763285024154589,0.6256038647342995,grenoble,svm,zscores_VBM_ROI,Neuromorphometrics,N763
150,0.6385714285714286,0.6128571428571429,geneve,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7115384615384615,0.6552197802197802,Baltimore,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.5802469135802469,0.5949074074074074,Boston,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6511387163561078,0.6061076604554865,Dallas,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.9365079365079365,0.7976190476190477,Detroit,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6161858974358975,0.5841346153846154,Hartford,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6203947368421053,0.6039473684210527,mannheim,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6346749226006192,0.531733746130031,creteil,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7317901234567901,0.6472222222222221,udine,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.7843137254901962,0.7058823529411764,galway,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6278195488721804,0.6215538847117794,pittsburgh,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6038647342995169,0.6400966183574879,grenoble,svm,zscores_VBM_ROI,Neuromorphometrics,N763
200,0.6471428571428572,0.62,geneve,svm,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6524725274725274,0.6648351648351649,Baltimore,svm,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.5617283950617283,0.537037037037037,Boston,svm,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6169772256728778,0.584368530020704,Dallas,svm,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.9682539682539683,0.9523809523809523,Detroit,svm,zscores_VBM_ROI,Neuromorphometrics,N763
300,0.6522435897435896,0.561698717948718,Hartford,svm,zscores_VBM_ROI,Neuromorphometrics,N763
